#SAO H-BAND FILTER, 1650WB290, (AMBIENT 23-C)
#Wavelength (nm), % Transmission
#wl	transmission
#--	------------
3000	-0.2964416146
2998	-0.1098465398
2996	-0.1486103088
2994	-0.1434106082
2992	-0.1676356047
2990	-0.2819725871
2988	-0.1180063784
2986	-0.189309597
2984	-0.1631320566
2982	-0.009164222516
2980	-0.2286083102
2978	-0.1440126747
2976	-0.2162965983
2974	-0.1757993549
2972	-0.0213454105
2970	-0.2598899901
2968	-0.1642343998
2966	-0.1993269026
2964	-0.1071732715
2962	-0.1931831241
2960	-0.1480482221
2958	-0.188487947
2956	-0.04937180132
2954	-0.1426278055
2952	-0.1407532543
2950	-0.09407705814
2948	-0.1827439219
2946	-0.05723849684
2944	-0.2023624033
2942	-0.06203051284
2940	-0.1548459977
2938	-0.09956297278
2936	-0.17707856
2934	-0.08403874189
2932	-0.140207082
2930	-0.1395149529
2928	-0.101446569
2926	-0.07578369975
2924	-0.1835813075
2922	-0.09366407245
2920	-0.09348390251
2918	-0.08274883777
2916	-0.1325524598
2914	-0.1399598718
2912	-0.03706938773
2910	-0.07308445871
2908	-0.09480624646
2906	-0.08827256411
2904	-0.1085643172
2902	-0.1340987086
2900	-0.07133961469
2898	-0.1320548356
2896	-0.1096565127
2894	-0.05572689697
2892	-0.1165645421
2890	-0.1248723567
2888	-0.09228532761
2886	-0.1108601093
2884	-0.1330111474
2882	-0.05476516485
2880	-0.05590494722
2878	-0.04484859109
2876	-0.06662193686
2874	-0.1090170667
2872	-0.121750325
2870	-0.07645005733
2868	-0.1143555641
2866	-0.1025266349
2864	-0.127798155
2862	-0.06062073633
2860	-0.04347233474
2858	-0.06001695246
2856	-0.07102266699
2854	-0.06411352009
2852	-0.06918881834
2850	-0.06025821716
2848	-0.07398728281
2846	-0.06932727993
2844	-0.05484372377
2842	-0.05330391601
2840	-0.0558857508
2838	-0.06700024009
2836	-0.02119506523
2834	-0.04165020213
2832	-0.06706269085
2830	-0.03193636239
2828	-0.0467900075
2826	-0.04362146556
2824	-0.02307020687
2822	-0.04803062603
2820	-0.02275475673
2818	-0.03795272484
2816	-0.03762487695
2814	-0.02927445993
2812	-0.006622629706
2810	-0.002980741672
2808	-0.0331902951
2806	-0.02672958933
2804	-0.03034441359
2802	-0.03042879142
2800	-0.02391351573
2798	-0.00633243192
2796	-0.01638546214
2794	-0.01412923727
2792	-0.008320949972
2790	-0.02916569635
2788	-0.01107459236
2786	-0.01954619773
2784	-0.005850845017
2782	-0.02385447919
2780	-0.01967303455
2778	-0.004068653565
2776	-0.01798743382
2774	-0.0107188588
2772	-0.01114245504
2770	-0.01557287481
2768	-0.01005028095
2766	-0.01110482961
2764	-0.006675236393
2762	-0.02456671186
2760	-0.01142559107
2758	-0.02003564686
2756	-0.01255829539
2754	-0.00656914711
2752	-0.005691912957
2750	-0.01054500137
2748	-0.00460535707
2746	-0.005021869671
2744	-0.00355825969
2742	-0.006211237516
2740	-0.01295197289
2738	-0.007970656268
2736	-0.0116895698
2734	-0.006160643417
2732	-0.01053334121
2730	-0.007461349014
2728	0.000318198785
2726	-0.008442964405
2724	-0.002956435317
2722	-0.004694418982
2720	0.001006194856
2718	-0.009907488711
2716	-0.007894653827
2714	-0.0008030380704
2712	-0.003020269796
2710	-0.005935522262
2708	-0.001774646807
2706	1.46654902E-5
2704	-0.00640996499
2702	-0.004716599826
2700	-0.006247848272
2698	-0.004242990632
2696	-0.007297894452
2694	-0.00372867519
2692	-0.002379657933
2690	0.009603952989
2688	-0.004143400583
2686	-0.008784046397
2684	-0.004120636266
2682	-0.001350205508
2680	-0.00303134881
2678	-0.005253486335
2676	-0.0001454471203
2674	-0.003197410144
2672	-0.005752752069
2670	-0.0009259923245
2668	-0.005464231595
2666	-0.0059990515
2664	-0.005497974344
2662	-0.005275378469
2660	-0.00404681731
2658	-0.004416866228
2656	-0.000604950299
2654	0.003893218935
2652	-0.002768676728
2650	-0.002865453484
2648	-0.001954340143
2646	-0.002555410378
2644	0.002187140053
2642	0.005320392083
2640	-0.003758427454
2638	-0.001209549257
2636	-0.001412116457
2634	-0.0009165397496
2632	0.0005410424201
2630	-0.004351779353
2628	-0.003655267647
2626	0.002877950901
2624	-0.001451680553
2622	-0.0006995776203
2620	0.003605001606
2618	-0.002133450005
2616	-0.0012405077
2614	-0.004869143944
2612	0.002504104748
2610	-0.001666666358
2608	0.0002932335192
2606	0.003621285548
2604	-0.0006061765016
2602	-0.0005840625381
2600	0.001631782157
2598	0.0009909849614
2596	0.001425820286
2594	0.003613365348
2592	0.001852560323
2590	0.003780535655
2588	0.003993576858
2586	0.004798470065
2584	0.006980959792
2582	0.002887125127
2580	0.002683377592
2578	0.002854941413
2576	0.004119659308
2574	0.003361911513
2572	0.002811994171
2570	0.002292063786
2568	0.002633382101
2566	0.001481768093
2564	0.001652447507
2562	-0.0002166403428
2560	0.0001603739074
2558	0.001555662137
2556	-0.0001147185685
2554	-0.001014132984
2552	0.000142295743
2550	-0.0003120051115
2548	-0.002770821331
2546	-0.0005351254949
2544	-0.0005779591738
2542	0.001713510603
2540	0.00196069805
2538	0.002427501837
2536	-0.001077152789
2534	0.001857969677
2532	-0.0001706082694
2530	0.002096835291
2528	0.003443548921
2526	0.001202764222
2524	0.004785512108
2522	0.005908134393
2520	0.006989346817
2518	0.007838347927
2516	0.00929755345
2514	0.009191189893
2512	0.006952165626
2510	0.006888635922
2508	0.00727061322
2506	0.005747024436
2504	0.005359600764
2502	0.004657160025
2500	0.003478099126
2498	0.001767353388
2496	-5.580393554E-5
2494	5.437718937E-5
2492	-0.0005361360963
2490	-0.000115121511
2488	-0.0009153917781
2486	-0.001395102707
2484	0.001086017932
2482	0.0004482198274
2480	0.0006161134806
2478	0.0002825962729
2476	0.001079639071
2474	-8.556336252E-5
2472	-5.744449663E-5
2470	0.0007162654656
2468	-0.0003404212475
2466	0.0002207658981
2464	0.000506299315
2462	0.0007227149326
2460	-0.0005443685222
2458	-0.0003179050691
2456	-0.0007821214385
2454	-0.0003036998678
2452	0.0001627458405
2450	0.000616280362
2448	3.016321671E-6
2446	-6.886589108E-5
2444	0.0004288530035
2442	0.0005754818558
2440	0.0002867058793
2438	0.0003271600872
